timestamp,commit,cr_ops,cr_ns,zr_ops,zr_ns,ratio,clear_ratio,run_optimize_ratio,shrink_to_fit_ratio,portable_serialize_ratio,frozen_serialize_ratio,minimum_ratio,maximum_ratio,add_ratio,rank_ratio,select_ratio,contains_ratio,add_many_ratio,add_range_closed_ratio,contains_range_ratio,range_cardinality_ratio,remove_ratio,and_ratio,or_ratio,xor_ratio,andnot_ratio,lazy_or_ratio,or_inplace_ratio,and_inplace_ratio,is_subset_ratio,equals_ratio,and_cardinality_ratio,or_cardinality_ratio,xor_cardinality_ratio,andnot_cardinality_ratio,jaccard_index_ratio,or_many_ratio
2026-06-18T23:53:53.869,7b918ae,11430,21097,11430,33341,0.63,2.318,0.495,0.397,1.400,0.950,1.012,0.541,0.857,2.552,0.854,0.979,1.162,0.848,0.984,1.482,0.964,1.244,0.594,0.446,0.945,1.269,0.932,0.620,1.050,0.300,1.228,1.128,0.993,1.102,1.191,0.478
2026-06-21T08:38:38.769,d88572f,11430,20737,11430,31773,0.65,21.720,0.528,0.142,1.166,0.919,0.996,0.525,0.853,0.882,0.892,0.984,1.034,0.806,1.000,1.086,0.884,0.811,0.818,0.535,0.979,1.451,0.943,0.911,1.065,0.847,1.636,1.174,1.015,1.364,1.192,0.465
